"X60410","X60430","X60434","X60512","X61104","X61402","X61502","X61603","X62601","X63001","X65001","X65101","year","month","day"
4.316,5.053,4.053,7.474,2.053,5.263,4.368,4.158,3.526,4.105,3.737,2.579,2009,5,25
2.526,2.684,1.579,3.105,1.579,3.316,3.316,1.316,3.579,1.474,2.737,2.526,2009,5,26
3.263,5.789,3.474,11.684,2.263,8.632,11.526,4.316,7.632,2.526,3.789,3.316,2009,5,27
2,4.053,1,9.737,2.263,7.579,4.895,4.889,12.684,0.526,3.947,3.895,2009,5,28
2.895,3.526,2.632,3.105,2,2.842,2.684,2.842,1.526,3.158,2.737,2.211,2009,5,29
3.316,2.947,2.056,2.684,2.263,1.947,2.737,2.474,1.789,2.579,3.263,2.368,2009,5,30
1.211,1.368,3.715,1.789,1,0.684,1.368,1.105,1.105,1.053,1,1.263,2009,5,31
3.316,5.158,6.003,5.789,1.316,5.789,6.526,4.789,4.684,3.737,5.316,4.368,2009,6,1
3.789,4.947,7.316,7.421,2.737,3.895,2.316,3.842,8.842,4.421,2,1.684,2009,6,2
2.474,3.158,3.737,3.158,0.842,1.632,1.632,1.579,1.737,1.842,2.368,1.526,2009,6,3
1.105,2.211,2.684,3.368,1.368,1.895,2.263,1.158,1.737,1.947,2.053,2.684,2009,6,4
3.316,5.895,4.421,9.368,2.947,5.842,5.632,3.947,4.684,3.474,7.789,4.684,2009,6,5
6,6.421,8.053,5.947,3.684,4.579,4.158,6.789,6.316,7.474,3.579,3.947,2009,6,6
1.895,2.842,2.368,3.842,1.263,2.105,2.947,2.421,4.579,1.947,1.421,2.158,2009,6,7
0.632,1.526,2.158,2.421,1.053,1.842,1.842,1.368,3.158,0.895,1.474,1.789,2009,6,8
4.316,4.421,4.158,5.579,4.263,3.842,2,4.316,6.526,4.947,2.632,4.105,2009,6,9
2.579,4.789,3.842,9.053,1.579,3.158,4,3.263,3.789,2.263,2.316,2.474,2009,6,10
5.105,7.947,5.789,6.737,3.211,5.737,5.842,6.105,6.263,3.105,3.526,3.842,2009,6,11
3.526,4.474,4.842,5.053,2.053,2.421,2.526,4.316,3.526,3.263,2.842,3.158,2009,6,12
3.579,2.789,2.842,1.947,3.263,1.526,2.263,2.263,1.842,2.053,2.474,3,2009,6,13
3.789,4.684,5.053,4.737,2.737,4.842,3.579,4.789,5.579,4.842,5.789,4.474,2009,6,14
5.105,6.211,5.474,5.789,3.368,3.368,3.263,3.737,6,4.158,4.842,5.368,2009,6,15
5.211,4.895,5.263,10.842,4.368,5.421,5.053,5.474,6.211,5.316,4.789,4.895,2009,6,16
14.684,13.947,13.947,17.263,11,10.842,14.105,12.053,13.105,11.474,13.053,14.684,2009,6,17
2.947,2.211,2.737,5.211,0.789,1.105,1.053,2.105,2.737,2.211,1.684,1.263,2009,6,18
6.211,5.421,4.316,6.263,3.947,2.684,4.526,4,3,5.895,5.947,4.895,2009,6,19
2.789,2.895,2.684,3.474,2,6.211,5.474,2.526,5.842,2.105,2.421,2.737,2009,6,20
5.263,4,3.842,2.579,4.526,2.368,2.789,3.737,2.684,4.158,2.158,3.737,2009,6,21
7.421,6.579,5.684,8,1.211,4.842,3.316,5.158,4.105,5.158,4.421,4.421,2009,6,22
6.895,7.053,6.053,11.105,3.789,7.947,8.158,5,9.316,5.053,6.526,5.737,2009,6,23
9.947,9.053,9.684,10.474,6.158,10.316,10.632,7.105,10.842,10.158,6.526,6.368,2009,6,24
18.947,16.263,17.895,15.947,10.947,15.895,16.263,17.158,15.632,17.158,8.368,10.842,2009,6,25
9.474,7.158,6.105,4.263,6,3.526,5.632,5.053,4.947,4.632,6.158,6.105,2009,6,26
