"year","month","day","hour","tempf","humidity","solarradiation","hourlyrainin","windspeedmph"
2021,3,27,19,58.875,84.1666666666667,15.9533333333333,0.0295,0.483333333333333
2021,3,27,20,57.6666666666667,86.8333333333333,2.03666666666667,0.0354166666666667,0.5
2021,3,27,21,57.45,85.25,0,0.00783333333333333,1.025
2021,3,27,22,56.2,87.75,0,0.0708333333333333,0.5
2021,3,27,23,54.5333333333333,90.3333333333333,0,0.061,0.591666666666667
2021,3,27,24,53.3416666666667,93.0833333333333,0,0.07475,0.366666666666667
2021,3,28,1,52.6833333333333,94,0,0.057,0.45
2021,3,28,2,52.2833333333333,95.5,0,0,0.108333333333333
2021,3,28,3,52.3,96,0,0,0.0333333333333333
2021,3,28,4,51.75,94.1666666666667,0,0.0118333333333333,1.19166666666667
2021,3,28,5,49.0333333333333,92.4166666666667,0,0,1.26666666666667
2021,3,28,6,47.725,91.3333333333333,0,0,0.75
2021,3,28,7,45.9083333333333,93.0833333333333,0,0,1.96666666666667
2021,3,28,8,44.4166666666667,88.1666666666667,0.0708333333333333,0.00783333333333333,1.58333333333333
2021,3,28,9,42.7083333333333,86.25,4.89333333333333,0,2.24166666666667
2021,3,28,10,39.675,84.5833333333333,18.245,0,2.775
2021,3,28,11,38.6583333333333,89.1666666666667,59.6875,0,2.20833333333333
2021,3,28,12,38.1333333333333,92.25,76.9275,0.0236666666666667,1.725
2021,3,28,13,38.3333333333333,88.1666666666667,71.4133333333333,0,2.29166666666667
2021,3,28,14,38.3166666666667,86.8333333333333,66.57,0,3.05
2021,3,28,15,38.0416666666667,80.9166666666667,56.3725,0,2.18333333333333
2021,3,28,16,38.5,77.4166666666667,79.4033333333333,0,1.88333333333333
2021,3,28,17,41.0916666666667,70.25,200.170833333333,0,2.08333333333333
2021,3,28,18,43.5166666666667,64.3333333333333,164.714166666667,0,2.23333333333333
2021,3,28,19,41.8916666666667,63.5833333333333,69.1083333333333,0,2.25833333333333
2021,3,28,20,38.6333333333333,67,12.0883333333333,0,1.58333333333333
2021,3,28,21,36.0416666666667,72.0833333333333,0.0708333333333333,0,0.266666666666667
2021,3,28,22,33.975,77.3333333333333,0,0,0.0333333333333333
2021,3,28,23,31.8833333333333,82.75,0,0,0
2021,3,28,24,29.1666666666667,87.75,0,0,0
2021,3,29,1,27.8083333333333,90.9166666666667,0,0,0
2021,3,29,2,27.5333333333333,92.5,0,0,0
2021,3,29,3,27.0416666666667,92.6666666666667,0,0,0.0583333333333333
2021,3,29,4,26.3166666666667,93.6666666666667,0,0,0
2021,3,29,5,25.5666666666667,94,0,0,0
2021,3,29,6,24.8333333333333,95,0,0,0
2021,3,29,7,24.3,95.1666666666667,0,0,0
2021,3,29,8,24.1583333333333,95.25,1.13083333333333,0,0
2021,3,29,9,31.75,86.4166666666667,47.6366666666667,0,0
2021,3,29,10,37.6666666666667,73.9166666666667,72.6266666666667,0,0.225
2021,3,29,11,40.525,67.0833333333333,121.509166666667,0,1.275
2021,3,29,12,45.8166666666667,59,404.083333333333,0,1.95
2021,3,29,13,51.8083333333333,49.8333333333333,669.739166666667,0,1.55833333333333
2021,3,29,14,53.3916666666667,49,633.904166666667,0,1.775
2021,3,29,15,55.7166666666667,48.75,598.13,0,1.55833333333333
2021,3,29,16,56.6833333333333,46.6666666666667,541.5625,0,2.38333333333333
2021,3,29,17,57.2416666666667,46.3333333333333,408.091666666667,0,2.16666666666667
2021,3,29,18,57.3,45.9166666666667,245.864166666667,0,2.84166666666667
2021,3,29,19,55.4916666666667,49.75,88.3466666666667,0,2.09166666666667
2021,3,29,20,53.775,50.4166666666667,13.6475,0,1.25833333333333
2021,3,29,21,51.775,53.3333333333333,0.203333333333333,0,1.30833333333333
2021,3,29,22,50.3583333333333,55,0,0,1.1
2021,3,29,23,49.5916666666667,53.1666666666667,0,0,2.03333333333333
2021,3,29,24,49.2166666666667,51.8333333333333,0,0,2
2021,3,30,1,48.8333333333333,52.3333333333333,0,0,2.06666666666667
2021,3,30,2,48,53.4166666666667,0,0,0.575
2021,3,30,3,46.7666666666667,55.0833333333333,0,0,0.458333333333333
2021,3,30,4,46.7833333333333,55.75,0,0,1.24166666666667
2021,3,30,5,46.4833333333333,56.0833333333333,0,0,1.19166666666667
2021,3,30,6,46.2,56.6666666666667,0,0,1.475
2021,3,30,7,46.2,57.25,0,0,1.675
2021,3,30,8,46.5166666666667,57.4166666666667,1.915,0,0.875
2021,3,30,9,50.7666666666667,51.9166666666667,50.575,0,1.89166666666667
2021,3,30,10,54.25,48.6666666666667,82.77,0,2.01666666666667
2021,3,30,11,58.0916666666667,45.75,127.33,0,2.18333333333333
2021,3,30,12,63.8,40.1666666666667,462.673333333333,0,3.14166666666667
2021,3,30,13,66.4333333333333,40.0833333333333,462.264166666667,0,2.025
2021,3,30,14,69.6833333333333,39.6666666666667,607.815,0,2.325
2021,3,30,15,70.5416666666667,39.25,516.378333333333,0,2.525
2021,3,30,16,70.4583333333333,40.4166666666667,376.5275,0,2.34166666666667
2021,3,30,17,71.2916666666667,41.0833333333333,324.086666666667,0,2.275
2021,3,30,18,69.0416666666667,43.8333333333333,87.6116666666667,0,2.44166666666667
2021,3,30,19,65.3916666666667,51.4166666666667,11.9466666666667,0,1.76666666666667
2021,3,30,20,61.825,63.75,1.3325,0.00783333333333333,1.175
2021,3,30,21,57,80.6666666666667,0,0.0393333333333333,0.991666666666667
2021,3,30,22,54.9166666666667,87.25,0,0.0118333333333333,0.2
2021,3,30,23,54.575,83.75,0,0,0.633333333333333
2021,3,30,24,50.4833333333333,73.75,0,0.00783333333333333,1.825
2021,3,31,1,45.475,89.5,0,0.0118333333333333,0.183333333333333
2021,3,31,2,45.6,73.25,0,0,0.641666666666667
2021,3,31,3,44.525,57.8333333333333,0,0,1.175
2021,3,31,4,43.9333333333333,56.1666666666667,0,0,1.59166666666667
2021,3,31,5,41.9666666666667,55.75,0,0,2.13333333333333
2021,3,31,6,39.6833333333333,61.5,0,0,1.89166666666667
2021,3,31,7,38,68.75,0,0,1.05
2021,3,31,8,36.7583333333333,71.3333333333333,2.53666666666667,0,0.616666666666667
2021,3,31,9,38.925,64.1666666666667,47.2808333333333,0,0.608333333333333
2021,3,31,10,40.4583333333333,58.4166666666667,83.045,0,2.325
2021,3,31,11,40.6916666666667,59,115.035833333333,0,1.20833333333333
2021,3,31,12,44.775,53.5833333333333,371.4825,0,2.125
2021,3,31,13,48.4333333333333,50.1666666666667,623.77,0,2.16666666666667
2021,3,31,14,46.0666666666667,51.5,332.019166666667,0,2.125
2021,3,31,15,47.2083333333333,49.0833333333333,558.475,0,2.2
2021,3,31,16,47.0666666666667,46.25,436.4025,0,3.075
2021,3,31,17,45.4833333333333,45.25,323.0875,0,3.21666666666667
2021,3,31,18,44.2583333333333,45.5833333333333,236.870833333333,0,2.625
2021,3,31,19,40.7666666666667,51.5,87.9266666666667,0,1.75
2021,3,31,20,37.3,57,13.4041666666667,0,1.35833333333333
2021,3,31,21,35.225,63.9166666666667,0.213333333333333,0,0.575
2021,3,31,22,33.0833333333333,69.9166666666667,0,0,0.0166666666666667
2021,3,31,23,32.7333333333333,73.5833333333333,0,0,0.0333333333333333
2021,3,31,24,32.0166666666667,75.8333333333333,0,0,0.225
2021,4,1,1,31.5666666666667,78.5,0,0,0.258333333333333
2021,4,1,2,30.0833333333333,84.6666666666667,0,0,0.291666666666667
2021,4,1,3,29.975,82,0,0,0.75
2021,4,1,4,29.4166666666667,81.4166666666667,0,0,0.55
2021,4,1,5,28.65,76.5,0,0,0.308333333333333
2021,4,1,6,27.525,82.8333333333333,0,0,0.541666666666667
2021,4,1,7,27.2083333333333,78.5833333333333,0,0,0.525
2021,4,1,8,26.45,69.0833333333333,2.47666666666667,0,0.491666666666667
2021,4,1,9,26.8666666666667,74,19.3583333333333,0,0.883333333333333
2021,4,1,10,27.4833333333333,79.9166666666667,75.58,0,0.241666666666667
2021,4,1,11,30.4083333333333,75.75,121.4075,0,1
2021,4,1,12,32.3333333333333,76.1666666666667,218.9175,0,2.05833333333333
2021,4,1,13,35.3083333333333,70.3333333333333,409.466666666667,0,2.2
2021,4,1,14,35.0333333333333,64.5833333333333,133.181666666667,0,1.44166666666667
2021,4,1,15,35.1916666666667,56.1666666666667,257.955,0,1.76666666666667
2021,4,1,16,35.0583333333333,55.9166666666667,190.0275,0,2.63333333333333
2021,4,1,17,36.6583333333333,54.9166666666667,282.595,0,2.16666666666667
2021,4,1,18,34.2833333333333,57.6666666666667,132.02,0,1.95
2021,4,1,19,33.3333333333333,60.75,62.6941666666667,0,1.4
2021,4,1,20,31.4583333333333,66.6666666666667,13.7708333333333,0,0.633333333333333
2021,4,1,21,29.325,70.3333333333333,0.244166666666667,0,0.5
2021,4,1,22,28.1333333333333,74.1666666666667,0,0,0.45
2021,4,1,23,26.875,78,0,0,0
2021,4,1,24,26.1583333333333,80.6666666666667,0,0,0
2021,4,2,1,24.4666666666667,83.0833333333333,0,0,0
2021,4,2,2,22.3583333333333,86.75,0,0,0
2021,4,2,3,20.7833333333333,89.6666666666667,0,0,0
2021,4,2,4,19.95,90.6666666666667,0,0,0
2021,4,2,5,19.1833333333333,92,0,0,0
2021,4,2,6,18.0333333333333,91.0833333333333,0,0,0
2021,4,2,7,17.2833333333333,91.5833333333333,0,0,0
2021,4,2,8,16.9416666666667,91.75,2.99583333333333,0,0
2021,4,2,9,27.5833333333333,74.0833333333333,62.4891666666667,0,0
2021,4,2,10,32.375,61.6666666666667,69.1166666666667,0,0.0333333333333333
2021,4,2,11,36.3083333333333,44.9166666666667,113.2625,0,0.308333333333333
2021,4,2,12,45.2833333333333,32.5833333333333,604.084166666667,0,0.7
2021,4,2,13,49.5333333333333,29.8333333333333,658.4425,0,1.11666666666667
2021,4,2,14,50.1416666666667,32,620.73,0,1.11666666666667
2021,4,2,15,50.5833333333333,31.8333333333333,628.765833333333,0,1.58333333333333
